RK,NAME,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
1,Ezekiel ElliottDAL,RB,15,304,"1,434",4.7,41,11,6,95.6,6,1,73
2,Saquon BarkleyNYG,RB,16,261,"1,307",5,78,16,11,81.7,0,0,50
3,Todd Gurley IILAR,RB,14,256,"1,251",4.9,36,11,17,89.4,0,0,70
4,Joe MixonCIN,RB,14,237,"1,168",4.9,51,11,8,83.4,0,0,60
5,Chris CarsonSEA,RB,14,247,"1,151",4.7,61,8,9,82.2,3,2,61
6,Christian McCaffreyCAR,RB,16,219,"1,098",5,59,6,7,68.6,2,1,53
7,Derrick HenryTEN,RB,16,215,"1,059",4.9,99,4,12,66.2,0,0,51
8,Adrian PetersonWSH,RB,16,251,"1,042",4.2,90,5,7,65.1,2,1,47
9,Phillip LindsayDEN,RB,15,192,"1,037",5.4,65,8,9,69.1,0,0,49
10,Nick ChubbCLE,RB,16,192,996,5.2,92,11,8,62.3,0,0,47
11,Lamar MillerHOU,RB,14,210,973,4.6,97,6,5,69.5,0,0,36
11,James ConnerPIT,RB,13,215,973,4.5,30,9,12,74.8,3,1,56
13,David JohnsonARI,RB,16,258,940,3.6,53,2,7,58.8,2,2,51
14,Jordan HowardCHI,RB,16,250,935,3.7,42,5,9,58.4,2,1,53
15,Sony MichelNE,RB,13,209,931,4.5,34,4,6,71.6,1,1,54
16,Marlon MackIND,RB,12,195,908,4.7,49,7,9,75.7,1,1,50
17,Melvin Gordon IIILAC,RB,12,175,885,5.1,34,9,10,73.8,0,0,47
18,Alvin KamaraNO,RB,15,194,883,4.6,49,1,14,58.9,0,0,57
19,Peyton BarberTB,RB,16,234,871,3.7,28,4,5,54.4,1,1,41
20,Kareem HuntKC,RB,11,181,824,4.6,45,7,7,74.9,0,0,46
21,Matt BreidaSF,RB,14,153,814,5.3,66,10,3,58.1,1,1,36
22,Tevin ColemanATL,RB,16,167,800,4.8,65,8,4,50,1,0,36
23,Aaron JonesGB,RB,12,133,728,5.5,67,4,8,60.7,1,1,41
