RK,NAME,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
24,Doug MartinOAK,RB,16,172,723,4.2,29,2,4,45.2,3,3,37
25,Frank GoreMIA,RB,14,156,722,4.6,39,5,0,51.6,1,0,25
26,Gus EdwardsBAL,RB,11,137,718,5.2,43,4,2,65.3,0,0,37
27,Lamar JacksonBAL,QB,16,147,695,4.7,39,8,5,43.4,10,2,45
28,Isaiah CrowellNYJ,RB,13,143,685,4.8,77,6,6,52.7,0,0,26
29,Mark Ingram IINO,RB,12,138,645,4.7,38,3,6,53.8,2,1,34
30,Kerryon JohnsonDET,RB,10,118,641,5.4,71,6,3,64.1,1,1,32
31,Josh AllenBUF,QB,12,89,631,7.1,45,8,8,52.6,5,1,41
32,Dalvin CookMIN,RB,11,133,615,4.6,70,4,2,55.9,2,2,22
33,Latavius MurrayMIN,RB,16,140,578,4.1,38,6,6,36.1,0,0,23
34,Carlos HydeCLE/JAX,RB,14,172,571,3.3,22,1,5,40.8,2,1,27
35,Austin EkelerLAC,RB,14,106,554,5.2,41,4,3,39.6,0,0,25
36,Deshaun WatsonHOU,QB,16,99,551,5.6,34,2,5,34.4,3,1,33
37,Kenyan DrakeMIA,RB,16,120,535,4.5,54,4,4,33.4,2,1,23
38,Royce FreemanDEN,RB,14,130,521,4,24,2,5,37.2,1,1,30
39,Dion LewisTEN,RB,16,155,517,3.3,36,2,1,32.3,1,1,22
40,LeSean McCoyBUF,RB,14,161,514,3.2,28,3,3,36.7,0,0,22
40,Mike DavisSEA,RB,15,112,514,4.6,37,2,4,34.3,0,0,25
42,Josh AdamsPHI,RB,14,120,511,4.3,29,4,3,36.5,1,1,23
43,Alfred BlueHOU,RB,16,150,499,3.3,17,0,2,31.2,0,0,25
44,Cam NewtonCAR,QB,14,101,488,4.8,29,2,4,34.9,2,0,36
45,Jamaal WilliamsGB,RB,16,121,464,3.8,20,1,3,29,0,0,25
46,Tarik CohenCHI,RB,16,99,444,4.5,32,7,3,27.8,2,2,20
47,Leonard FournetteJAX,RB,8,133,439,3.3,25,2,5,54.9,0,0,23
48,Alfred MorrisSF,RB,12,111,428,3.9,51,3,2,35.7,2,1,24
49,James WhiteNE,RB,16,94,425,4.5,27,5,5,26.6,0,0,22
50,Mitch TrubiskyCHI,QB,14,68,421,6.2,39,4,3,30.1,1,1,29
51,Rashaad PennySEA,RB,14,85,419,4.9,38,4,2,29.9,0,0,18
52,LeGarrette BlountDET,RB,16,154,418,2.7,27,2,5,26.1,1,0,25
53,T.J. YeldonJAX,RB,14,104,414,4,20,1,1,29.6,1,1,16
54,Alex CollinsBAL,RB,10,114,411,3.6,19,0,7,41.1,3,3,22
55,C.J. AndersonLAR/CAR,RB,11,67,403,6,46,3,2,36.6,0,0,21
56,Chris IvoryBUF,RB,13,115,385,3.3,21,2,1,29.6,1,0,25
57,Marshawn LynchOAK,RB,6,90,376,4.2,52,1,3,62.7,0,0,20
57,Russell WilsonSEA,QB,16,67,376,5.6,40,3,0,23.5,3,0,23
59,Blake BortlesJAX,QB,13,58,365,6.3,41,3,1,28.1,3,2,28
60,Wendell SmallwoodPHI,RB,16,87,364,4.2,15,0,3,22.8,1,0,22
61,Marcus MariotaTEN,QB,14,64,357,5.6,27,3,2,25.5,3,1,26
62,Bilal PowellNYJ,RB,7,80,343,4.3,38,2,0,49,2,1,16
63,Jordan WilkinsIND,RB,16,60,336,5.6,53,1,1,21,0,0,15
64,Kenneth DixonBAL,RB,6,60,333,5.6,37,2,2,55.5,2,1,20
65,Ito SmithATL,RB,14,90,315,3.5,18,0,4,22.5,1,0,18
66,Nyheim HinesIND,RB,16,85,314,3.7,18,0,2,19.6,1,0,17
67,Dak PrescottDAL,QB,16,75,305,4.1,28,1,6,19.1,4,1,25
68,Jameis WinstonTB,QB,11,49,281,5.7,18,0,1,25.5,4,1,18
69,Elijah McGuireNYJ,RB,8,92,276,3,34,1,3,34.5,2,2,15
70,Patrick MahomesKC,QB,16,60,272,4.5,28,3,2,17,2,0,18
71,Aaron RodgersGB,QB,16,43,269,6.3,23,3,2,16.8,2,0,20
72,Jeff Wilson Jr.SF,RB,6,66,266,4,18,0,0,44.3,3,2,13
73,Zach ZennerDET,RB,8,55,265,4.8,29,1,3,33.1,0,0,14
74,Raheem MostertSF,RB,9,34,261,7.7,52,2,1,29,1,1,13
75,Jalen RichardOAK,RB,16,55,259,4.7,30,3,1,16.2,2,2,11
75,Corey ClementPHI,RB,11,68,259,3.8,32,2,2,23.5,2,0,15
77,Damien WilliamsKC,RB,16,50,256,5.1,25,3,4,16,1,1,15
77,Jaylen SamuelsPIT,RB,14,56,256,4.6,25,1,0,18.3,0,0,13
79,Marcus MurphyBUF,RB,11,52,250,4.8,30,1,0,22.7,0,0,7
80,Spencer WareKC,RB,13,51,246,4.8,34,2,2,18.9,0,0,14
81,Cordarrelle PattersonNE,RB,15,42,228,5.4,27,2,1,15.2,0,0,15
82,Malcolm BrownLAR,RB,12,43,212,4.9,19,0,0,17.7,0,0,10
83,Giovani BernardCIN,RB,12,56,211,3.8,23,2,3,17.6,0,0,14
84,Chase EdmondsARI,RB,16,60,208,3.5,29,2,2,13,1,0,14
85,Justin JacksonLAC,RB,13,50,206,4.1,20,1,2,15.8,0,0,14
86,Duke JohnsonCLE,RB,16,40,201,5,23,1,0,12.6,0,0,9
87,Taysom HillNO,TE,16,37,196,5.3,35,1,2,12.3,1,1,15
88,Kalen BallageMIA,RB,12,36,191,5.3,75,1,1,15.9,1,1,10
89,Ty MontgomeryBAL/GB,WR,13,41,188,4.6,16,0,1,14.5,1,0,10
90,Rex BurkheadNE,RB,8,57,186,3.3,12,0,0,23.3,1,0,11
91,Jay AjayiPHI,RB,4,45,184,4.1,20,1,3,46,1,1,11
92,Devontae BookerDEN,RB,16,34,183,5.4,26,1,1,11.4,0,0,11
93,Chris ThompsonWSH,RB,10,43,178,4.1,16,0,0,17.8,1,0,9
94,Wayne GallmanNYG,RB,15,51,176,3.5,9,0,1,11.7,0,0,7
95,DJ MooreCAR,WR,16,13,172,13.2,32,3,0,10.8,2,1,6
96,Theo RiddickDET,RB,14,40,171,4.3,19,0,0,12.2,0,0,8
97,Alex SmithWSH,QB,10,41,168,4.1,22,1,1,16.8,3,0,15
98,Robert WoodsLAR,WR,16,19,157,8.3,56,1,1,9.8,0,0,9
98,Brian HillATL,RB,10,20,157,7.8,60,3,0,15.7,1,1,5
100,Dwayne WashingtonNO,RB,13,27,154,5.7,28,3,0,11.8,0,0,7
