RK,NAME,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
64,George KittleSF,TE,8,48,63,634,13.2,2,44,8,79.3,0,0,296,32
65,Darnell MooneyCHI,WR,16,61,98,631,10.3,4,53,6,39.4,1,0,338,33
66,Zach PascalIND,WR,16,44,71,629,14.3,5,42,13,39.3,0,0,240,29
67,Rob GronkowskiTB,TE,16,45,77,623,13.8,7,48,10,38.9,1,0,256,29
68,Christian KirkARI,WR,14,48,79,621,12.9,6,80,7,44.4,0,0,187,30
69,Josh ReynoldsLAR,WR,16,52,81,618,11.9,2,40,8,38.6,1,0,220,31
70,Dalton SchultzDAL,TE,16,63,89,615,9.8,4,28,3,38.4,1,1,278,33
71,Hunter HenryLAC,TE,14,60,93,613,10.2,4,33,5,43.8,0,0,241,35
72,Damiere ByrdNE,WR,16,47,77,604,12.9,1,42,10,37.8,1,0,166,29
73,Danny AmendolaDET,WR,14,46,69,602,13.1,0,50,8,43,0,0,296,30
74,Laviska Shenault Jr.JAX,WR,14,58,79,600,10.3,5,36,10,42.9,0,0,295,33
75,Rashard HigginsCLE,WR,13,37,52,599,16.2,4,43,12,46.1,2,0,77,26
75,Gabriel DavisBUF,WR,16,35,62,599,17.1,7,56,10,37.4,1,0,131,27
77,J.D. McKissicWSH,RB,16,80,110,589,7.4,2,29,2,36.8,2,1,510,32
78,Robert TonyanGB,TE,16,52,59,586,11.3,11,45,9,36.6,0,0,224,33
79,Hayden HurstATL,TE,16,56,88,571,10.2,6,42,5,35.7,0,0,257,35
80,Mecole HardmanKC,WR,16,41,62,560,13.7,4,49,7,35,1,1,291,23
81,Eric EbronPIT,TE,15,56,91,558,10,5,27,6,37.2,1,1,197,30
82,Travis FulghamPHI,WR,13,38,67,539,14.2,4,42,5,41.5,0,0,112,26
83,Dallas GoedertPHI,TE,11,46,65,524,11.4,3,41,7,47.6,0,0,203,28
84,A.J. GreenCIN,WR,16,47,104,523,11.1,2,33,3,32.7,0,0,90,34
85,Tyler HigbeeLAR,TE,15,44,60,521,11.8,5,44,9,34.7,0,0,246,27
86,Jalen GuytonLAC,WR,16,28,55,511,18.3,3,72,7,31.9,0,0,188,18
87,Breshad PerrimanNYJ,WR,12,30,60,505,16.8,3,53,10,42.1,0,0,164,20
88,Jared CookNO,TE,15,37,60,504,13.6,7,46,6,33.6,1,1,116,27
89,Michael Pittman Jr.IND,WR,13,40,61,503,12.6,1,45,5,38.7,0,0,280,22
90,Scotty MillerTB,WR,16,33,53,501,15.2,3,48,7,31.3,0,0,116,20
91,Anthony MillerCHI,WR,16,49,76,485,9.9,2,34,4,30.3,1,1,154,23
92,Antonio BrownTB,WR,8,45,61,483,10.7,4,46,6,60.4,0,0,252,27
93,Nyheim HinesIND,RB,16,63,76,482,7.7,4,29,2,30.1,0,0,475,24
94,Cam SimsWSH,WR,16,32,48,477,14.9,1,50,9,29.8,0,0,250,18
95,Chris ConleyJAX,WR,15,40,63,471,11.8,2,51,5,31.4,1,1,181,24
96,Demarcus RobinsonKC,WR,16,45,59,466,10.4,3,28,7,29.1,1,1,165,26
97,John BrownBUF,WR,9,33,52,458,13.9,3,46,7,50.9,0,0,172,22
98,Jimmy GrahamCHI,TE,16,50,76,456,9.1,8,30,4,28.5,1,0,206,32
99,Henry Ruggs IIILV,WR,13,26,43,452,17.4,2,72,8,34.8,1,1,153,13
100,Allen LazardGB,WR,10,33,46,451,13.7,3,72,6,45.1,0,0,195,23
