RK,NAME,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
44,Zack MossBUF,RB,13,112,481,4.3,31,4,4,37,0,0,30
45,Brian HillATL,RB,16,100,465,4.7,62,3,1,29.1,1,1,18
46,Taysom HillNO,TE,16,87,457,5.3,43,2,8,28.6,7,3,34
47,Sony MichelNE,RB,9,79,449,5.7,48,4,1,49.9,0,0,19
48,Chase EdmondsARI,RB,16,97,448,4.6,32,4,1,28,1,0,22
49,Deshaun WatsonHOU,QB,16,90,444,4.9,16,0,3,27.8,4,1,31
50,Tony PollardDAL,RB,16,101,435,4.3,42,4,4,27.2,0,0,23
51,Alexander MattisonMIN,RB,13,96,434,4.5,25,4,2,33.4,0,0,24
52,Joe MixonCIN,RB,6,119,428,3.6,34,3,3,71.3,1,1,20
53,Devontae BookerLV,RB,16,93,423,4.5,43,4,3,26.4,1,0,21
53,Daniel JonesNYG,QB,14,65,423,6.5,80,4,1,30.2,3,2,17
55,Josh AllenBUF,QB,16,102,421,4.1,24,2,8,26.3,4,4,38
56,Malcolm BrownLAR,RB,16,101,419,4.1,19,0,5,26.2,0,0,28
57,Giovani BernardCIN,RB,16,124,416,3.4,15,0,3,26,1,1,23
58,Nyheim HinesIND,RB,16,89,380,4.3,31,3,3,23.8,0,0,24
59,Boston ScottPHI,RB,16,80,374,4.7,56,2,1,23.4,1,0,16
60,Benny Snell Jr.PIT,RB,16,111,368,3.3,30,3,4,23,2,1,25
61,Leonard FournetteTB,RB,13,97,367,3.8,46,3,6,28.2,0,0,21
62,J.D. McKissicWSH,RB,16,85,365,4.3,17,0,1,22.8,1,0,25
63,Carlos HydeSEA,RB,10,81,356,4.4,50,2,4,35.6,0,0,20
64,Joshua KelleyLAC,RB,14,111,354,3.2,33,3,2,25.3,2,2,20
64,Jalen HurtsPHI,QB,15,63,354,5.6,24,3,3,23.6,6,2,24
139,Le'Veon BellKC/NYJ,RB,11,82,328,4,16,0,2,29.8,0,0,22
66,Jerick McKinnonSF,RB,16,81,319,3.9,55,1,5,19.9,0,0,16
66,Salvon AhmedMIA,RB,6,75,319,4.3,31,1,3,53.2,0,0,18
68,Jordan WilkinsIND,RB,15,84,308,3.7,22,1,1,20.5,0,0,17
68,Patrick MahomesKC,QB,15,62,308,5,24,3,2,20.5,2,0,21
72,Kalen BallageLAC/NYJ,RB,11,91,303,3.3,17,0,3,27.5,1,0,25
70,Samaje PerineCIN,RB,16,63,301,4.8,46,1,3,18.8,0,0,16
71,Mark Ingram IIBAL,RB,11,72,299,4.2,30,2,2,27.2,0,0,14
73,Teddy BridgewaterCAR,QB,15,53,279,5.3,18,0,5,18.6,4,1,18
74,Carson WentzPHI,QB,12,52,276,5.3,40,3,5,23,3,1,25
75,Rex BurkheadNE,RB,10,67,274,4.1,18,0,3,27.4,0,0,18
76,Justin JacksonLAC,RB,9,59,270,4.6,36,3,0,30,0,0,15
77,Ito SmithATL,RB,14,63,268,4.3,24,1,1,19.1,0,0,8
78,Ryan TannehillTEN,QB,16,43,266,6.2,45,3,7,16.6,1,0,22
79,Peyton BarberWSH,RB,16,94,258,2.7,15,0,4,16.1,0,0,26
80,Matt BreidaMIA,RB,12,59,254,4.3,24,1,0,21.2,2,1,11
80,Ty JohnsonDET/NYJ,RB,13,54,254,4.7,34,1,1,19.5,0,0,11
83,AJ DillonGB,RB,11,46,242,5.3,30,2,2,22,0,0,11
84,Alfred MorrisNYG,RB,9,55,238,4.3,20,1,1,26.4,0,0,13
85,Duke JohnsonHOU,RB,11,77,235,3.1,23,1,1,21.4,2,2,11
86,Justin HerbertLAC,QB,15,55,234,4.3,31,1,5,15.6,4,0,20
87,Cordarrelle PattersonCHI,RB,16,64,232,3.6,13,0,1,14.5,0,0,12
87,La'Mical PerineNYJ,RB,10,64,232,3.6,20,1,2,23.2,0,0,18
89,Christian McCaffreyCAR,RB,3,59,225,3.8,15,0,5,75,0,0,14
90,Sam DarnoldNYJ,QB,12,37,217,5.9,46,1,2,18.1,0,0,13
91,Jeremy McNicholsTEN,RB,16,47,204,4.3,20,1,1,12.8,0,0,8
92,Curtis SamuelCAR,WR,15,41,200,4.9,45,1,2,13.3,0,0,10
93,Mitch TrubiskyCHI,QB,10,33,195,5.9,45,2,1,19.5,1,0,12
94,Kerryon JohnsonDET,RB,16,52,181,3.5,14,0,2,11.3,1,1,9
95,Devonta FreemanNYG,RB,5,54,172,3.2,14,0,1,34.4,0,0,9
96,Royce FreemanDEN,RB,16,35,170,4.9,23,2,0,10.6,0,0,10
97,Darrel WilliamsKC,RB,16,39,169,4.3,13,0,1,10.6,0,0,14
98,D'Ernest JohnsonCLE,RB,16,33,166,5,28,3,0,10.4,1,0,7
99,Baker MayfieldCLE,QB,16,54,165,3.1,28,1,1,10.3,3,1,18
100,Drew LockDEN,QB,13,44,160,3.6,16,0,3,12.3,4,0,13
