RK,NAME,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
1,Derrick HenryTEN,RB,16,378,"2,027",5.4,94,16,17,126.7,3,2,98
2,Dalvin CookMIN,RB,14,312,"1,557",5,70,6,16,111.2,4,2,91
3,Jonathan TaylorIND,RB,15,232,"1,169",5,62,7,11,77.9,1,1,69
4,Aaron JonesGB,RB,14,201,"1,104",5.5,77,6,9,78.9,1,0,52
5,David MontgomeryCHI,RB,15,247,"1,070",4.3,80,5,8,71.3,0,0,59
5,James RobinsonJAX,RB,14,240,"1,070",4.5,47,5,7,76.4,1,0,54
7,Nick ChubbCLE,RB,12,190,"1,067",5.6,59,12,12,88.9,1,1,55
8,Josh JacobsLV,RB,15,273,"1,065",3.9,28,3,12,71,2,2,61
9,Lamar JacksonBAL,QB,15,159,"1,005",6.3,50,10,7,67,5,2,56
10,Melvin Gordon IIIDEN,RB,15,215,986,4.6,65,5,9,65.7,2,2,46
11,Ezekiel ElliottDAL,RB,15,244,979,4,31,3,6,65.3,5,4,62
12,Ronald JonesTB,RB,14,192,978,5.1,98,6,7,69.9,0,0,48
13,Kenyan DrakeARI,RB,15,239,955,4,69,6,10,63.7,3,1,59
14,Alvin KamaraNO,RB,15,187,932,5,49,7,16,62.1,1,0,58
15,Miles SandersPHI,RB,12,164,867,5.3,82,4,6,72.3,4,2,39
16,Kareem HuntCLE,RB,16,198,841,4.2,33,3,6,52.6,1,0,44
17,Kyler MurrayARI,QB,16,133,819,6.2,48,7,11,51.2,5,0,52
18,J.K. DobbinsBAL,RB,15,134,805,6,72,8,9,53.7,2,0,38
19,Clyde Edwards-HelaireKC,RB,13,181,803,4.4,31,3,4,61.8,0,0,39
20,Antonio GibsonWSH,RB,14,170,795,4.7,40,5,11,56.8,0,0,40
21,Gus EdwardsBAL,RB,16,144,723,5,36,8,6,45.2,1,1,45
22,James ConnerPIT,RB,13,169,721,4.3,59,5,6,55.5,2,0,42
23,David JohnsonHOU,RB,12,147,691,4.7,48,4,6,57.6,0,0,38
23,Damien HarrisNE,RB,10,137,691,5,41,4,2,69.1,1,0,30
25,Devin SingletaryBUF,RB,16,156,687,4.4,51,3,2,42.9,1,1,40
26,Wayne GallmanNYG,RB,15,147,682,4.6,60,3,6,45.5,1,0,36
27,Chris CarsonSEA,RB,12,141,681,4.8,29,3,5,56.8,1,0,43
28,Todd Gurley IIATL,RB,15,195,678,3.5,35,2,9,45.2,1,0,45
29,Latavius MurrayNO,RB,15,146,656,4.5,36,3,4,43.7,1,0,36
30,Frank GoreNYJ,RB,15,187,653,3.5,17,0,2,43.5,1,1,32
31,Mike DavisCAR,RB,15,165,642,3.9,25,2,6,42.8,1,1,38
32,Cam AkersLAR,RB,13,145,625,4.3,61,4,2,48.1,1,1,26
33,Darrell Henderson Jr.LAR,RB,15,138,624,4.5,40,3,5,41.6,0,0,40
34,Adrian PetersonDET,RB,16,156,604,3.9,38,4,7,37.8,0,0,34
35,Jeff Wilson Jr.SF,RB,12,126,600,4.8,34,3,7,50,2,2,31
36,Cam NewtonNE,QB,15,137,592,4.3,49,3,12,39.5,5,1,55
37,Myles GaskinMIA,RB,10,142,584,4.1,26,3,3,58.4,2,2,27
38,Austin EkelerLAC,RB,10,116,530,4.6,27,2,1,53,1,0,26
39,Raheem MostertSF,RB,8,104,521,5,80,2,2,65.1,1,1,22
39,D'Andre SwiftDET,RB,13,114,521,4.6,54,1,8,40.1,2,2,31
41,Russell WilsonSEA,QB,16,83,513,6.2,38,6,2,32.1,4,2,25
42,Jamaal WilliamsGB,RB,14,119,505,4.2,25,1,2,36.1,0,0,29
43,Phillip LindsayDEN,RB,11,118,502,4.3,55,6,1,45.6,0,0,19
