RK,NAME,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
1,Julio JonesATL,WR,16,113,170,"1,677",14.8,8,58,24,104.8,2,2,448,80
2,DeAndre HopkinsHOU,WR,16,115,163,"1,572",13.7,11,49,23,98.3,2,2,348,81
3,Mike EvansTB,WR,16,86,139,"1,524",17.7,8,72,26,95.3,1,1,256,69
4,Tyreek HillKC,WR,16,87,137,"1,479",17,12,75,27,92.4,0,0,489,60
5,JuJu Smith-SchusterPIT,WR,16,111,166,"1,426",12.8,7,97,18,89.1,1,1,617,68
6,Michael ThomasNO,WR,16,125,147,"1,405",11.2,9,72,17,87.8,2,2,502,75
7,Davante AdamsGB,WR,15,111,169,"1,386",12.5,13,57,18,92.4,0,0,498,64
8,George KittleSF,TE,16,88,136,"1,377",15.6,5,85,20,86.1,0,0,784,60
9,Adam ThielenMIN,WR,16,113,153,"1,373",12.1,9,68,17,85.8,1,1,428,74
10,Travis KelceKC,TE,16,103,150,"1,336",13,10,43,18,83.5,2,1,557,68
11,Antonio BrownPIT,WR,15,104,168,"1,297",12.5,15,78,17,86.5,0,0,503,63
12,T.Y. HiltonIND,WR,14,76,120,"1,270",16.7,6,68,22,90.7,0,0,392,55
13,Robert WoodsLAR,WR,16,86,130,"1,219",14.2,6,39,20,76.2,0,0,417,66
14,Brandin CooksLAR,WR,16,80,117,"1,204",15.1,5,57,22,75.3,1,0,319,56
15,Keenan AllenLAC,WR,16,97,136,"1,196",12.3,6,54,13,74.8,1,1,382,62
16,Zach ErtzPHI,TE,16,116,156,"1,163",10,8,34,13,72.7,1,0,363,66
17,Kenny GolladayDET,WR,15,70,119,"1,063",15.2,5,60,19,70.9,1,0,355,56
18,Odell Beckham Jr.NYG,WR,12,77,124,"1,052",13.7,6,51,17,87.7,0,0,332,51
19,Tyler BoydCIN,WR,14,76,108,"1,028",13.5,7,49,21,73.4,0,0,431,54
20,Stefon DiggsMIN,WR,15,102,149,"1,021",10,9,75,13,68.1,0,0,428,49
21,Amari CooperOAK/DAL,WR,15,75,107,"1,005",13.4,7,90,10,67,2,2,411,53
22,Jarvis LandryCLE,WR,16,81,149,976,12,4,51,13,61,1,1,258,44
23,Tyler LockettSEA,WR,16,57,70,965,16.9,10,52,17,60.3,1,0,215,37
24,Jared CookOAK,TE,16,68,101,896,13.2,6,45,15,56,0,0,368,46
25,Corey DavisTEN,WR,16,65,112,891,13.7,4,51,15,55.7,1,0,261,47
26,Sterling ShepardNYG,WR,16,66,107,872,13.2,4,58,12,54.5,0,0,288,47
27,Emmanuel SandersDEN,WR,12,71,98,868,12.2,4,64,13,72.3,1,0,312,37
28,Christian McCaffreyCAR,RB,16,107,124,867,8.1,6,38,11,54.2,2,0,848,41
29,Julian EdelmanNE,WR,12,74,108,850,11.5,6,36,12,70.8,0,0,334,41
30,Alshon JefferyPHI,WR,13,65,92,843,13,6,52,9,64.8,1,0,277,48
31,Chris GodwinTB,WR,16,59,95,842,14.3,7,48,10,52.6,4,1,242,48
32,Mohamed SanuATL,WR,16,66,94,838,12.7,4,44,7,52.4,2,1,349,41
33,Calvin RidleyATL,WR,16,64,92,821,12.8,10,75,11,51.3,2,1,354,39
34,Adam HumphriesTB,WR,16,76,105,816,10.7,5,51,7,51,0,0,414,48
35,Golden TateDET/PHI,WR,15,74,113,795,10.7,4,67,9,53,2,0,411,33
36,DJ MooreCAR,WR,16,55,82,788,14.3,2,82,9,49.3,1,1,406,33
37,DeSean JacksonTB,WR,12,41,74,774,18.9,4,75,13,64.5,0,0,181,31
38,Allen Robinson IICHI,WR,13,55,94,754,13.7,4,43,11,58,1,1,239,36
39,Robbie AndersonNYJ,WR,14,50,94,752,15,6,76,10,53.7,2,2,170,30
40,James WhiteNE,RB,16,87,123,751,8.6,7,42,3,46.9,0,0,667,38
41,Eric EbronIND,TE,16,66,110,750,11.4,13,53,7,46.9,0,0,238,39
42,Jordy NelsonOAK,WR,15,63,88,739,11.7,3,66,7,49.3,0,0,223,36
43,Josh GordonCLE/NE,WR,12,41,71,737,18,4,55,12,61.4,0,0,283,30
44,Nelson AgholorPHI,WR,16,64,97,736,11.5,4,83,10,46,1,0,324,28
45,Larry FitzgeraldARI,WR,16,69,112,734,10.6,6,37,8,45.9,0,0,210,39
46,Tarik CohenCHI,RB,16,71,91,725,10.2,5,70,9,45.3,1,1,524,29
47,Saquon BarkleyNYG,RB,16,91,121,721,7.9,4,57,5,45.1,0,0,754,30
48,Dede WestbrookJAX,WR,16,66,101,717,10.9,5,61,15,44.8,2,1,361,38
49,John BrownBAL,WR,16,42,97,715,17,5,71,11,44.7,0,0,167,28
50,Alvin KamaraNO,RB,15,81,105,709,8.8,4,42,7,47.3,0,0,647,31
51,Courtland SuttonDEN,WR,16,42,84,704,16.8,4,42,16,44,0,0,182,30
52,A.J. GreenCIN,WR,9,46,77,694,15.1,6,38,12,77.1,2,1,173,37
53,Taylor GabrielCHI,WR,16,67,93,688,10.3,2,54,7,43,1,1,221,31
54,Rob GronkowskiNE,TE,13,47,72,682,14.5,3,42,8,52.5,1,1,188,34
55,Demaryius ThomasHOU/DEN,WR,15,59,89,677,11.5,5,45,9,45.1,0,0,287,37
56,Cole BeasleyDAL,WR,16,65,87,672,10.3,3,32,3,42,0,0,190,39
57,Donte MoncriefJAX,WR,16,48,89,668,13.9,3,80,7,41.8,1,1,243,28
58,Mike WilliamsLAC,WR,16,43,66,664,15.4,10,55,11,41.5,0,0,114,36
59,Austin HooperATL,TE,16,71,88,660,9.3,4,36,7,41.3,0,0,218,30
60,Tyrell WilliamsLAC,WR,16,41,65,653,15.9,5,75,11,40.8,2,0,186,30
61,Zay JonesBUF,WR,16,56,102,652,11.6,7,57,7,40.8,1,0,104,33
62,Willie Snead IVBAL,WR,16,62,95,651,10.5,1,28,5,40.7,0,0,275,37
63,David NjokuCLE,TE,16,56,88,639,11.4,4,66,9,39.9,0,0,305,27
64,Jimmy GrahamGB,TE,16,55,89,636,11.6,2,54,7,39.8,0,0,260,32
65,Kyle RudolphMIN,TE,16,64,82,634,9.9,4,44,6,39.6,0,0,246,32
66,Doug BaldwinSEA,WR,13,50,73,618,12.4,5,42,9,47.5,0,0,159,32
67,Vance McDonaldPIT,TE,15,50,72,610,12.2,4,75,6,40.7,2,1,360,33
68,Michael CrabtreeBAL,WR,16,54,100,607,11.2,3,27,6,37.9,0,0,110,35
68,Jalen RichardOAK,RB,16,68,81,607,8.9,0,32,5,37.9,0,0,502,23
70,Christian KirkARI,WR,12,43,68,590,13.7,3,75,8,49.2,0,0,228,21
71,Antonio CallawayCLE,WR,16,43,79,586,13.6,5,71,8,36.6,1,1,226,27
72,Marquez Valdes-ScantlingGB,WR,16,38,73,581,15.3,2,60,8,36.3,0,0,217,23
73,Todd Gurley IILAR,RB,14,59,81,580,9.8,4,56,5,41.4,1,1,587,26
74,Evan EngramNYG,TE,11,45,64,577,12.8,3,54,8,52.5,0,0,321,22
75,Danny AmendolaMIA,WR,15,59,79,575,9.7,1,39,4,38.3,0,0,220,27
76,Rashard HigginsCLE,WR,13,39,53,572,14.7,4,40,11,44,2,1,104,27
77,Trey BurtonCHI,TE,16,54,76,569,10.5,6,47,7,35.6,1,1,221,29
78,Ezekiel ElliottDAL,RB,15,77,95,567,7.4,3,38,4,37.8,0,0,580,22
79,Cooper KuppLAR,WR,8,40,55,566,14.1,6,70,9,70.8,0,0,302,25
80,O.J. HowardTB,TE,10,34,48,565,16.6,5,75,11,56.5,0,0,231,28
81,Jordan ReedWSH,TE,13,54,84,558,10.3,2,34,7,42.9,1,1,246,26
82,Kenny StillsMIA,WR,15,37,64,553,14.9,6,75,7,36.9,0,0,185,27
83,Mark AndrewsBAL,TE,16,34,50,552,16.2,3,74,8,34.5,0,0,197,28
84,Devin FunchessCAR,TE,14,44,79,549,12.5,4,27,8,39.2,0,0,79,35
85,Robert FosterBUF,WR,13,27,44,541,20,3,75,9,41.6,0,0,164,20
86,Chris HoganNE,WR,16,35,55,532,15.2,3,63,11,33.3,0,0,183,22
86,Josh DoctsonWSH,WR,15,44,78,532,12.1,2,32,7,35.5,0,0,109,31
88,Sammy WatkinsKC,WR,10,40,55,519,13,3,50,7,51.9,0,0,246,24
89,Marvin Jones Jr.DET,WR,9,35,62,508,14.5,5,39,5,56.4,0,0,105,27
90,Michael GallupDAL,WR,16,33,68,507,15.4,2,49,10,31.7,0,0,145,21
91,William Fuller VHOU,WR,7,32,45,503,15.7,4,73,7,71.9,0,0,171,23
92,Chris HerndonNYJ,TE,16,39,56,502,12.9,4,32,9,31.4,1,0,192,25
93,James ConnerPIT,RB,13,55,71,497,9,1,29,5,38.2,1,1,541,20
94,Seth RobertsOAK,WR,15,45,64,494,11,2,44,7,32.9,0,0,218,24
94,Curtis SamuelCAR,WR,13,39,65,494,12.7,5,53,6,38,0,0,102,24
96,Keelan ColeJAX,WR,16,38,70,491,12.9,1,35,7,30.7,2,2,124,25
97,Melvin Gordon IIILAC,RB,12,50,66,490,9.8,4,66,5,40.8,1,0,518,21
98,T.J. YeldonJAX,RB,14,55,78,487,8.9,4,37,4,34.8,0,0,445,21
98,Kendrick BourneSF,WR,16,42,66,487,11.6,4,33,6,30.4,1,0,135,30
100,Chester RogersIND,WR,16,53,72,485,9.2,2,34,5,30.3,0,0,255,28
